"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1148","金城忠義路口","34","2","土城區","20171124175943","24.969399","121.440808","金城路一段/忠義路","Tucheng Dist.","Jincheng & Zhongyi Intersection","Sec. 1, Jincheng Rd./Zhongyi Rd.","30","1"
"1149","華德公園","38","7","板橋區","20171124175924","24.991683","121.453320","四川路二段245巷60號對面","Banqiao Dist.","Huade Park","No.60, Ln. 245, Sec. 2, Sichuan Rd.","31","1"
"1150","橋東里(忠孝東路)","40","1","汐止區","20171124175919","25.073682","121.666257","忠孝東路484號至488號前","Xizhi Dist.","Qiaodong Village (Zhongxiao E. Rd.)","No.484 to No.488, Zhongxiao E. Rd.","38","1"
"1151","中山國中","38","6","板橋區","20171124175924","25.018559","121.467509","文化路一段188巷56號","Banqiao Dist.","Zhong Shan Junior High School","No.56, Ln. 188, Sec. 1, Wenhua Rd.","32","1"
"1152","捷運土城站(2號出口)","52","38","土城區","20171124175930","24.972631","121.443563","金城路1段/和平路","Tucheng Dist.","MRT Tucheng Sta.(Exit 2)","Sec. 1, Jincheng Rd./Heping Rd.","12","1"
"1153","四川遠東路口","48","2","板橋區","20171124175930","24.998003","121.457355","遠東路5號前人行道(四川路側)","Banqiao Dist.","Sichuan & Yuandong Intersection","No.5, Yuandong Rd.","46","1"
"1154","員林社區公園","42","25","土城區","20171124175941","24.977883","121.443237","員林街12巷對面","Tucheng Dist.","Yuanlin Community Park","Ln. 12, Yuanlin St. (opposite)","16","1"
"1155","中正橋","30","17","永和區","20171124175936","25.017757","121.516809","環河東路一段/光復街","Yonghe Dist.","Zhongzheng Bridge","Sec. 1, Huanhe E. Rd./Guangfu St.","11","1"
"1156","北港國小","44","24","汐止區","20171124175918","25.089027","121.645946","汐萬路二段279號","Xizhi Dist.","Beigang Elementary School","No.279, Sec. 2, Xiwan Rd.","19","1"
"1157","捷運新店站","54","26","新店區","20171124175931","24.958605","121.538659","中興路一段34號前(高架橋下停車場)","Xindian Dist.","MRT Xindian Sta.","No.34, Sec. 1, Zhongxing Rd.","28","1"
"1158","錦和運動公園","36","1","中和區","20171124175931","24.992086","121.490671","錦和路163號","Zhonghe Dist.","Jinhe Sports Park","No.163, Jinhe Rd.","34","1"
"1159","新樹公園","32","18","新莊區","20171124175926","25.003383","121.433154","新樹路627號對面","Xinzhuang Dist.","Xinshu Park","No.627, Xinshu Rd. (opposite)","14","1"
"1160","中和環球購物中心","40","8","中和區","20171124175943","25.006367","121.474223","中山路三段130號","Zhonghe Dist.","Zhonghe Global Mall","No.130, Sec. 3, Zhongshan Rd.","31","1"
"1161","楓樹腳公園","36","10","泰山區","20171124175937","25.061938","121.434939","楓江路26巷26號前人行道","Taishan Dist.","Fengshujiao Park","No.26, Ln. 26, Fengjiang Rd.","26","1"
"1162","厚德公園","36","1","三重區","20171124175926","25.071988","121.491200","忠孝路一段37號","Sanchong Dist.","Houde Park","No.37, Sec. 1, Zhongxiao Rd.","35","1"
"1163","板橋信義公園","40","4","板橋區","20171124175920","24.996183","121.456476","四川路二段6號對面","Banqiao Dist.","Banqiao Xinyi Park","No.6, Sec. 2, Sichuan Rd. (opposite)","36","1"
"1164","國光里(國光路)","34","25","板橋區","20171124175936","25.017755","121.458308","國光路76號旁","Banqiao Dist.","Guoguang Village (Guoguang Rd.)","No.76, Guoguang Rd.","9","1"
"1165","民生長江路口","36","9","板橋區","20171124175938","25.030904","121.463596","民生路三段/長江路一段(64高架橋下方)","Banqiao Dist.","Minsheng & Changjiang Intersection","Sec. 3, Minsheng Rd./Sec. 1, Changjiang Rd.","27","1"
"1166","華福市民活動中心","36","21","中和區","20171124175924","24.995482","121.467525","民德路296號對面停車格位","Zhonghe Dist.","Huafu Civil Activity Center","No.296, Minde Rd. (opposite)","15","1"
"1167","浮洲合宜住宅(合安一路)","34","10","板橋區","20171124175918","24.999329","121.446343","合安一路/大觀路二段153巷","Banqiao Dist.","Fujhou Appropriate House ( He-an 1st. Road )","1st Rd./Ln. 153, Sec. 2, Daguan Rd.","24","1"
"1168","建福公園","38","24","新莊區","20171124175925","25.027694","121.426685","建福路/建福路49巷","Xinzhuang Dist.","Jianfu Park","Jianfu Rd./Ln. 49, Jianfu Rd.","14","1"
"1169","水河里活動中心","52","18","蘆洲區","20171124175924","25.093949","121.473913","民族路408巷/復興路323巷","Luzhou Dist.","Shuei He Village Activity Center","Ln. 408, Minzu Rd./Ln. 323, Fuxing Rd.","32","1"
"1170","金城延和路口","38","11","土城區","20171124175917","24.989155","121.470454","金城路三段/延和路(土城台電變電站)","Tucheng Dist.","Jincheng & Yanhe Intersection","Sec. 3, Jincheng Rd./Yanhe Rd.","27","1"
"1171","國光公園","36","12","板橋區","20171124175938","25.019828","121.453852","中正路325巷/中正路341巷","Banqiao Dist.","Guoguang Park","Ln. 325, Zhongzheng Rd./Ln. 341, Zhongzheng Rd.","24","1"
